,,,,,,,,
,,,,,,,,
DomesticInternationalWorldwideCalendarAll TimeShowdownsIndices,,,,,,,,
Daily,,,,,,,,
WeekendWeeklyMonthlyQuarterlyYearlySeasonsHolidays,,,,,,,,
Daily Box Office For 2018,,,,,,,,
Year,,,,,,,,
,,,,,,,,
2018,,,,,,,,
"Data as of Jul 11, 1:36 PDT",,,,,,,,
Date,Day,Day #,Top 10 Gross,%± YD,%± LW,Releases,#1 Release,Gross
31-Dec,Monday,365,"$36,240,441 ",-19.60%,-14.20%,53,Aquaman,"$10,011,638 "
New Year's Eve,,,,,,,,
30-Dec,Sunday,364,"$50,932,176 ",-12.40%,2.90%,51,Aquaman,"$16,440,551 "
29-Dec,Saturday,363,"$58,118,460 ",2.60%,4.60%,51,Aquaman,"$18,632,907 "
28-Dec,Friday,362,"$56,667,767 ",9.70%,-2.90%,51,Aquaman,"$17,041,113 "
27-Dec,Thursday,361,"$51,671,321 ",-7%,299.20%,53,Aquaman,"$14,622,228 "
26-Dec,Wednesday,360,"$55,579,761 ",-21.60%,261.80%,52,Aquaman,"$16,903,518 "
25-Dec,Tuesday,359,"$70,898,743 ",123.30%,396.60%,53,Aquaman,"$21,982,419 "
Christmas Day,,,,,,,,
24-Dec,Monday,358,"$31,752,644 ",-35.80%,184.50%,49,Aquaman,"$10,851,928 "
23-Dec,Sunday,357,"$49,473,471 ",-10.90%,72.70%,53,Aquaman,"$18,793,733 "
22-Dec,Saturday,356,"$55,554,266 ",-4.80%,29.80%,52,Aquaman,"$21,346,634 "
21-Dec,Friday,355,"$58,331,971 ",350.70%,83.20%,53,Aquaman,"$27,733,155 "
20-Dec,Thursday,354,"$12,943,731 ",-15.70%,145.90%,60,Mary Poppins Returns,"$4,051,124 "
19-Dec,Wednesday,353,"$15,362,046 ",7.60%,146.40%,63,Mary Poppins Returns,"$4,763,547 "
18-Dec,Tuesday,352,"$14,278,049 ",27.90%,61.10%,59,Spider-Man: Into the Spider-Verse,"$4,301,097 "
17-Dec,Monday,351,"$11,160,534 ",-61%,104.50%,61,Spider-Man: Into the Spider-Verse,"$2,765,829 "
16-Dec,Sunday,350,"$28,645,794 ",-33.10%,35.60%,62,Spider-Man: Into the Spider-Verse,"$9,685,478 "
15-Dec,Saturday,349,"$42,788,962 ",34.40%,25.40%,65,Spider-Man: Into the Spider-Verse,"$13,012,817 "
14-Dec,Friday,348,"$31,834,524 ",504.70%,71%,60,Spider-Man: Into the Spider-Verse,"$12,665,081 "
