,,,,,,,,
,,,,,,,,
DomesticInternationalWorldwideCalendarAll TimeShowdownsIndices,,,,,,,,
Daily,,,,,,,,
WeekendWeeklyMonthlyQuarterlyYearlySeasonsHolidays,,,,,,,,
Daily Box Office For 2019,,,,,,,,
Year,,,,,,,,
,,,,,,,,
2019,,,,,,,,
"Data as of Jul 11, 1:36 PDT",,,,,,,,
Date,Day,Day #,Top 10 Gross,%± YD,%± LW,Releases,#1 Release,Gross
31-Dec,Tuesday,365,"$41,665,447 ",15%,16.30%,54,Star Wars: Episode IX - The Rise of Skywalker,"$13,217,698 "
New Year's Eve,,,,,,,,
30-Dec,Monday,364,"$43,219,231 ",-23.40%,-8.50%,53,Star Wars: Episode IX - The Rise of Skywalker,"$15,302,130 "
29-Dec,Sunday,363,"$56,411,598 ",-13.50%,-10.10%,54,Star Wars: Episode IX - The Rise of Skywalker,"$21,244,082 "
28-Dec,Saturday,362,"$65,192,161 ",<0.1%,-9.50%,54,Star Wars: Episode IX - The Rise of Skywalker,"$25,075,535 "
27-Dec,Friday,361,"$65,191,259 ",-4.80%,-39.90%,54,Star Wars: Episode IX - The Rise of Skywalker,"$26,069,973 "
26-Dec,Thursday,360,"$68,467,070 ",-9%,770.80%,54,Star Wars: Episode IX - The Rise of Skywalker,"$30,586,950 "
25-Dec,Wednesday,359,"$75,198,949 ",104.10%,748.70%,54,Star Wars: Episode IX - The Rise of Skywalker,"$32,165,681 "
Christmas Day,,,,,,,,
24-Dec,Tuesday,358,"$36,838,699 ",-22%,157.10%,49,Star Wars: Episode IX - The Rise of Skywalker,"$20,270,474 "
23-Dec,Monday,357,"$47,229,945 ",-24.70%,455.10%,52,Star Wars: Episode IX - The Rise of Skywalker,"$29,389,847 "
22-Dec,Sunday,356,"$62,731,517 ",-12.90%,107.20%,51,Star Wars: Episode IX - The Rise of Skywalker,"$40,301,011 "
21-Dec,Saturday,355,"$72,035,124 ",-33.60%,56.40%,51,Star Wars: Episode IX - The Rise of Skywalker,"$47,467,565 "
20-Dec,Friday,354,"$108,450,464 ",1279.30%,218.10%,51,Star Wars: Episode IX - The Rise of Skywalker,"$89,615,288 "
19-Dec,Thursday,353,"$7,862,973 ",-11.30%,39.30%,54,Jumanji: The Next Level,"$3,215,901 "
18-Dec,Wednesday,352,"$8,860,729 ",-38.20%,35.60%,54,Jumanji: The Next Level,"$3,456,336 "
17-Dec,Tuesday,351,"$14,327,480 ",68.40%,35.10%,53,Jumanji: The Next Level,"$6,301,757 "
16-Dec,Monday,350,"$8,508,581 ",-71.90%,39%,54,Jumanji: The Next Level,"$3,585,828 "
15-Dec,Sunday,349,"$30,280,587 ",-34.30%,27.30%,59,Jumanji: The Next Level,"$15,917,973 "
14-Dec,Saturday,348,"$46,058,861 ",35.10%,30%,58,Jumanji: The Next Level,"$23,610,586 "
13-Dec,Friday,347,"$34,092,053 ",504%,63.80%,56,Jumanji: The Next Level,"$19,722,984 "
12-Dec,Thursday,346,"$5,643,980 ",-13.60%,-29.30%,54,Frozen II,"$1,758,492 "
11-Dec,Wednesday,345,"$6,533,255 ",-38.40%,-21.70%,56,Frozen II,"$2,034,899 "
10-Dec,Tuesday,344,"$10,602,743 ",73.30%,-24%,55,Frozen II,"$3,585,256 "
9-Dec,Monday,343,"$6,119,141 ",-74.30%,-32.60%,56,Frozen II,"$1,890,910 "
8-Dec,Sunday,342,"$23,778,027 ",-32.90%,-35.90%,56,Frozen II,"$11,298,128 "
7-Dec,Saturday,341,"$35,416,686 ",70.10%,-44.30%,54,Frozen II,"$16,050,532 "
6-Dec,Friday,340,"$20,815,381 ",160.60%,-68.70%,53,Frozen II,"$7,816,954 "
5-Dec,Thursday,339,"$7,986,180 ",-4.30%,-75.80%,53,Frozen II,"$2,730,406 "
4-Dec,Wednesday,338,"$8,346,926 ",-40.20%,-80.80%,54,Frozen II,"$2,824,699 "
